Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AzureExecution,Chrome 136.0.7103.93,,,15-05-2025 17:21:48,15-05-2025 17:22:55,1m - 7.130s,FAILED
,,,,,,,
Start listener action : sampleBeforeTestSuite,Chrome 136.0.7103.93,,,15-05-2025 17:21:48,15-05-2025 17:21:48,0.217s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login - Has Azure Link,Chrome 136.0.7103.93,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,15-05-2025 17:21:49,15-05-2025 17:22:32,43.363s,PASSED
"DATA BINDING - {""(Default) Passw..."":""ThisIsNotAPassword"",""(Default) Usern..."":""John Doe""}",,,,,,,
Start listener action : beforeTestCase,Chrome 136.0.7103.93,,,15-05-2025 17:21:49,15-05-2025 17:21:49,0.018s,PASSED
Start listener action : openBrowser,Chrome 136.0.7103.93,,,15-05-2025 17:21:49,15-05-2025 17:22:08,19.045s,PASSED
Start listener action : enableSauceLabs,Chrome 136.0.7103.93,,,15-05-2025 17:22:08,15-05-2025 17:22:08,0.017s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 136.0.7103.93,,,15-05-2025 17:22:09,15-05-2025 17:22:09,0.099s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 136.0.7103.93,,,15-05-2025 17:22:09,15-05-2025 17:22:09,0.004s,PASSED
openBrowser(G_SiteURL),Chrome 136.0.7103.93,,,15-05-2025 17:22:09,15-05-2025 17:22:22,12.935s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 136.0.7103.93,,,15-05-2025 17:22:22,15-05-2025 17:22:25,2.669s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 136.0.7103.93,,,15-05-2025 17:22:25,15-05-2025 17:22:26,1.401s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 136.0.7103.93,,,15-05-2025 17:22:26,15-05-2025 17:22:27,1.002s,PASSED
"comment(""When he logins to CURA system"")",Chrome 136.0.7103.93,,,15-05-2025 17:22:27,15-05-2025 17:22:27,0.009s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 136.0.7103.93,,,15-05-2025 17:22:27,15-05-2025 17:22:29,2.381s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 136.0.7103.93,,,15-05-2025 17:22:29,15-05-2025 17:22:29,0.007s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 136.0.7103.93,,,15-05-2025 17:22:29,15-05-2025 17:22:30,0.462s,PASSED
closeBrowser(),Chrome 136.0.7103.93,,,15-05-2025 17:22:30,15-05-2025 17:22:30,0.122s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 136.0.7103.93,,,15-05-2025 17:22:30,15-05-2025 17:22:30,0.003s,PASSED
Video,Chrome 136.0.7103.93,,,15-05-2025 17:22:32,15-05-2025 17:22:32,0.002s,PASSED
,,,,,,,
Test Cases/Common Test Cases/Login,Chrome 136.0.7103.93,"Common test case used to login. 
Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,15-05-2025 17:22:32,15-05-2025 17:22:55,22.868s,FAILED
"DATA BINDING - {""(Default) Passw..."":""ThisIsNotAPassword"",""(Default) Usern..."":""John Doe""}",,,,,,,
Start listener action : beforeTestCase,Chrome 136.0.7103.93,,,15-05-2025 17:22:32,15-05-2025 17:22:32,0.002s,PASSED
Start listener action : openBrowser,Chrome 136.0.7103.93,,,15-05-2025 17:22:32,15-05-2025 17:22:45,12.646s,PASSED
Start listener action : enableSauceLabs,Chrome 136.0.7103.93,,,15-05-2025 17:22:45,15-05-2025 17:22:45,0.001s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 136.0.7103.93,,,15-05-2025 17:22:45,15-05-2025 17:22:47,2.457s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 136.0.7103.93,,,15-05-2025 17:22:47,15-05-2025 17:22:49,1.300s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 136.0.7103.93,,,15-05-2025 17:22:49,15-05-2025 17:22:50,1.090s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 136.0.7103.93,,,15-05-2025 17:22:50,15-05-2025 17:22:52,2.443s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 136.0.7103.93,,,15-05-2025 17:22:52,15-05-2025 17:22:53,0.418s,PASSED
"setEncryptedText(findTestObject(null), """")",Chrome 136.0.7103.93,,,15-05-2025 17:22:53,15-05-2025 17:22:53,0.302s,FAILED
Start listener action : autoUpdateJobStatus,Chrome 136.0.7103.93,,,15-05-2025 17:22:53,15-05-2025 17:22:53,0.000s,PASSED
Video,Chrome 136.0.7103.93,,,15-05-2025 17:22:55,15-05-2025 17:22:55,0.002s,PASSED
